27.07.2022 20:30 
Файл lab.log відкрито 
Оновлений час: 27.07.2022 20:30 

Image Name                     PID Session Name        Session#    Mem Usage
svchost.exe                   1984 Services                   0      7 872 K
jhi_service.exe               2224 Services                   0      4 360 K
LMS.exe                       5920 Services                   0      9 608 K
SgrmBroker.exe                4700 Services                   0      5 424 K
DDVDataCollector.exe          3936 Services                   0     18 632 K
DDVCollectorSvcApi.exe        1052 Services                   0      6 752 K
atiw.exe                      6652 Console                    1      8 468 K
svchost.exe                   4064 Services                   0      7 992 K
svchost.exe                   2872 Services                   0     11 312 K
svchost.exe                   7808 Services                   0      7 228 K
svchost.exe                   7324 Services                   0      6 216 K
svchost.exe                   5056 Services                   0      9 004 K
chrome.exe                    5608 Console                    1    272 556 K
chrome.exe                    2356 Console                    1      6 628 K
chrome.exe                    4376 Console                    1    293 340 K
chrome.exe                    4684 Console                    1     49 836 K
chrome.exe                    1196 Console                    1     16 184 K
RuntimeBroker.exe             7664 Console                    1      5 036 K
chrome.exe                    8840 Console                    1     82 264 K
chrome.exe                    8856 Console                    1     48 532 K
chrome.exe                    8864 Console                    1     69 824 K
chrome.exe                    8872 Console                    1     52 064 K
chrome.exe                    8880 Console                    1     33 244 K
chrome.exe                    8568 Console                    1     61 272 K
chrome.exe                    8556 Console                    1     46 768 K
chrome.exe                    8240 Console                    1     68 668 K
chrome.exe                    1420 Console                    1    109 608 K
svchost.exe                   4596 Services                   0      6 544 K
Telegram.exe                  7736 Console                    1    251 828 K
chrome.exe                    2084 Console                    1     51 392 K
chrome.exe                    6284 Console                    1     19 764 K
svchost.exe                   8536 Services                   0      9 900 K
rundll32.exe                  2096 Console                    1      7 344 K
chrome.exe                    5196 Console                    1    247 008 K
svchost.exe                   2116 Services                   0      8 948 K
chrome.exe                    5276 Console                    1     75 548 K
chrome.exe                     552 Console                    1     49 344 K
chrome.exe                    9724 Console                    1     90 792 K
chrome.exe                    1712 Console                    1     35 644 K
chrome.exe                    8408 Console                    1     49 884 K
chrome.exe                   10116 Console                    1     40 280 K
ApplicationFrameHost.exe      5272 Console                    1     29 136 K
chrome.exe                    2300 Console                    1    179 548 K
chrome.exe                    1648 Console                    1    137 784 K
chrome.exe                    8748 Console                    1     68 212 K
chrome.exe                    6940 Console                    1     81 200 K
chrome.exe                    9224 Console                    1     54 012 K
chrome.exe                    9672 Console                    1     56 496 K
chrome.exe                    4704 Console                    1     79 760 K
chrome.exe                    1200 Console                    1    110 772 K
WINWORD.EXE                   7816 Console                    1    144 724 K
svchost.exe                   9316 Console                    1      6 300 K
Taskmgr.exe                   4964 Console                    1     55 828 K
chrome.exe                   11004 Console                    1    119 504 K
SystemSettings.exe            9812 Console                    1     52 808 K
audiodg.exe                  11352 Services                   0     49 328 K
svchost.exe                  11172 Services                   0      7 592 K
svchost.exe                  10716 Services                   0      9 076 K
svchost.exe                  10872 Services                   0      6 860 K
chrome.exe                   12008 Console                    1    224 996 K
chrome.exe                    9236 Console                    1     29 300 K
chrome.exe                    2576 Console                    1     50 716 K
cmd.exe                       7584 Console                    1      4 756 K
conhost.exe                  12068 Console                    1     21 692 K
chrome.exe                   10972 Console                    1     22 136 K
WmiApSrv.exe                 11112 Services                   0      7 728 K
win32calc.exe                 2432 Console                    1     19 644 K
notepad.exe                   6784 Console                    1     16 184 K
tasklist.exe                  1312 Console                    1      7 636 K
WmiPrvSE.exe                  2492 Services                   0      8 568 K
Файл win32calc.exe успішно завершено 
Видалення файлів, які мають розширення .TMP, або їх ім’я починається на «temp» в d:\lab2:
Видалено 0 файл(и)
Створено архів d:\lab2-zip\2022-05-16_20-30.zip
Вчорашній архів відсутній
Архівів старших за 30 днів не знайдено
Підключення до інтернету присутнє
IP-адреса не знайдена
Список комп'ютерів в мережі:

Interface: 192.168.1.150 --- 0x9
  Internet Address      Physical Address      Type
  192.168.1.1           b0-48-7a-d9-81-7d     dynamic   
  192.168.1.12          00-02-44-93-86-3d     dynamic   
  192.168.1.111         e0-91-f5-4d-53-90     dynamic   
  192.168.1.147         fc-4b-bc-12-6b-6a     dynamic   
  192.168.1.246         00-0d-88-41-b7-78     dynamic   
  192.168.1.250         f8-1a-67-56-16-a4     dynamic   
  192.168.1.255         ff-ff-ff-ff-ff-ff     static    
  224.0.0.2             01-00-5e-00-00-02     static    
  224.0.0.22            01-00-5e-00-00-16     static    
  224.0.0.251           01-00-5e-00-00-fb     static    
  224.0.0.252           01-00-5e-00-00-fc     static    
  239.255.255.250       01-00-5e-7f-ff-fa     static    
  255.255.255.255       ff-ff-ff-ff-ff-ff     static    
Не усі IP-адреси з ipon.txt наявні у системі
log.log занадто великий, 17389 байт
Caption  FreeSpace     Size          
C:       27441672192   195518779392  
D:       224805052416  343852978176  
E:       337760989184  460186447872  
F:                                   

